epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.9888,1.66859,2.67517,1.7305,0.72695,0.27323,0.31844,0.16454,1.84518,2.84417,1.99529,0.000553282,0.000553282,0.000553282
2,160.417,1.7315,1.99748,1.76631,0.35533,0.37932,0.29385,0.13131,1.9628,2.39324,1.97565,0.000889377,0.000889377,0.000889377
3,224.271,1.70532,1.73955,1.76025,0.46342,0.39534,0.41339,0.22783,1.68608,1.78878,1.79151,0.00100543,0.00100543,0.00100543
4,290.151,1.6162,1.53183,1.67503,0.61107,0.55839,0.58393,0.3247,1.54333,1.28906,1.64166,0.000676802,0.000676802,0.000676802
5,354.65,1.50616,1.35684,1.60027,0.68688,0.56883,0.61361,0.37603,1.34972,1.0274,1.48771,0.000346736,0.000346736,0.000346736
